сільське господарство,промисловість,будівництво,послуги,державне управління,region,year
28.1,21.4,2.0,39.8,8.7,Вінницька,2017
17.2,15.4,2.1,57.7,7.6,Волинська,2017
7.3,48.2,1.8,38.4,4.3,Дніпропетровська,2017
7.2,49.9,1.7,35.0,6.2,Донецька,2017
23.5,19.0,1.5,43.8,12.2,Житомирська,2017
15.2,15.1,3.1,57.4,9.2,Закарпатська,2017
12.0,42.4,1.2,38.7,5.7,Запорізька,2017
14.4,28.0,4.5,46.7,6.4,Івано-Франківська,2017
31.3,19.1,1.2,39.5,8.9,Кіровоградська,2017
21.3,23.1,1.0,39.1,15.5,Луганська,2017
9.6,22.9,2.7,57.1,7.7,Львівська,2017
21.9,21.1,1.6,45.4,10.0,Миколаївська,2017
11.5,12.5,4.6,63.8,7.6,Одеська,2017
14.3,54.1,1.4,26.1,4.1,Полтавська,2017
19.9,24.5,2.4,44.8,8.4,Рівненська,2017
26.1,22.5,1.1,39.9,10.4,Сумська,2017
28.1,14.2,1.7,48.6,7.4,Тернопільська,2017
11.1,31.0,2.6,49.3,6.0,Харківська,2017
33.0,15.1,1.2,42.3,8.4,Херсонська,2017
31.1,17.5,1.9,40.6,8.9,Хмельницька,2017
21.8,25.2,1.3,45.6,6.1,Черкаська,2017
22.3,10.7,3.1,54.8,9.1,Чернівецька,2017
28.2,20.5,1.1,39.6,10.6,Чернігівська,2017
14.3,31.6,7.7,131.5,14.9,Київська,2017
